                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7191,                 13.179,                 1.3279,                0.19358,                0.20247,                0.11664,                0.03303,                 2.3088,                 9.2795,                 1.1134,             0.00024442,             0.00024442,             0.00024442
                      2,                 2.1389,                 4.5976,                 1.1291,                0.29584,                0.31325,                0.22362,                0.08862,                 2.0238,                 45.969,                 1.0868,             0.00045045,             0.00045045,             0.00045045
                      3,                 2.3713,                 5.5684,                  1.123,                0.13656,                0.10843,                 0.0625,                0.02656,                 2.5011,                 8.4867,                  1.294,             0.00060589,             0.00060589,             0.00060589
                      4,                 2.0817,                 3.0611,                 1.0966,                0.02884,                0.44578,                0.05473,                0.01676,                 2.4327,                 3.8051,                 1.1869,             0.00071074,             0.00071074,             0.00071074
                      5,                 2.1528,                 3.0134,                 1.1531,                0.39592,                0.21687,                0.15422,                0.05608,                 2.2649,                 3.1558,                 1.1402,             0.00067104,             0.00067104,             0.00067104
                      6,                 2.0689,                 2.6397,                 1.1335,                0.32686,                0.33735,                0.25732,                 0.0857,                 2.2425,                 2.4069,                 1.1167,             0.00067104,             0.00067104,             0.00067104
                      7,                 2.2145,                 2.4442,                 1.1144,                0.37375,                0.28916,                 0.2445,                0.09624,                 2.1934,                 2.3997,                   1.12,             0.00056105,             0.00056105,             0.00056105
                      8,                 2.1091,                 2.4474,                 1.1317,                0.38998,                0.46988,                0.38499,                0.14768,                 1.9732,                 3.6138,                 1.0571,             0.00045107,             0.00045107,             0.00045107
                      9,                 1.8763,                 2.0467,                 1.0586,                 0.4699,                0.39759,                0.41002,                0.17014,                 1.9564,                 2.0621,                 1.0547,             0.00034108,             0.00034108,             0.00034108
                     10,                 1.9073,                  1.863,                 1.1153,                0.51338,                0.33735,                0.35174,                0.14856,                 1.8256,                 2.0569,                 1.0191,             0.00023109,             0.00023109,             0.00023109
