                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89775,                0.82238,                  1.139,                0.83509,                0.92722,                  0.951,                0.79122,                0.65076,                0.54944,                 1.0016,             0.00040761,             0.00040761,             0.00040761
                      2,                0.87194,                 0.8651,                 1.1449,                0.84414,                0.92804,                 0.9312,                0.70945,                0.76247,                0.71188,                 1.0864,             0.00079707,             0.00079707,             0.00079707
                      3,                0.99854,                 1.0125,                 1.1993,                0.82686,                0.83809,                0.87059,                0.65334,                0.94835,                0.92976,                 1.2234,               0.001159,               0.001159,               0.001159
                      4,                0.98893,                0.98775,                 1.2372,                0.72086,                0.75855,                0.76132,                0.50414,                   1.24,                 1.2299,                 1.5123,              0.0011263,              0.0011263,              0.0011263
                      5,                  1.051,                0.99277,                 1.2489,                0.83472,                0.87629,                 0.9172,                0.70113,                0.87762,                0.89645,                 1.1757,              0.0011263,              0.0011263,              0.0011263
                      6,                 1.0379,                 1.0461,                 1.2325,                0.70651,                0.82808,                0.81706,                0.57409,                 1.0002,                 1.2941,                 1.2406,               0.001085,               0.001085,               0.001085
                      7,                0.97152,                0.94245,                 1.1903,                0.86633,                0.81675,                0.89215,                0.65447,                0.92169,                0.89659,                 1.1987,              0.0010438,              0.0010438,              0.0010438
                      8,                0.98444,                0.92193,                 1.2004,                0.69429,                0.67551,                0.77613,                0.55723,                 1.1486,                 1.0656,                 1.5125,              0.0010025,              0.0010025,              0.0010025
                      9,                0.96971,                0.90147,                 1.1735,                0.86648,                0.83152,                0.93423,                0.71341,                0.87262,                0.67076,                 1.1518,             0.00096125,             0.00096125,             0.00096125
                     10,                0.97537,                0.96757,                 1.1912,                0.86574,                0.88855,                0.92226,                0.71215,                 0.7845,                0.70714,                 1.0914,                0.00092,                0.00092,                0.00092
                     11,                0.95453,                0.90423,                 1.1851,                0.95592,                0.82883,                0.96513,                0.75114,                0.78483,                 0.7019,                 1.1018,             0.00087875,             0.00087875,             0.00087875
                     12,                0.97521,                0.85143,                 1.1956,                0.94016,                0.91455,                0.97543,                0.78699,                0.75306,                0.58574,                  1.075,              0.0008375,              0.0008375,              0.0008375
                     13,                0.94838,                0.83567,                 1.1766,                0.89265,                0.94371,                0.96818,                0.78198,                0.75896,                0.60436,                 1.0704,             0.00079625,             0.00079625,             0.00079625
                     14,                0.90968,                0.78365,                 1.1556,                0.93911,                0.85245,                0.95503,                0.75596,                0.75942,                0.61231,                 1.0614,               0.000755,               0.000755,               0.000755
                     15,                0.84661,                0.75824,                 1.1178,                0.86533,                0.96935,                0.96288,                0.77632,                0.75353,                0.54868,                 1.0821,             0.00071375,             0.00071375,             0.00071375
                     16,                0.87565,                0.77948,                 1.1382,                0.94146,                0.97217,                0.97939,                0.78989,                0.73761,                0.50471,                 1.0542,              0.0006725,              0.0006725,              0.0006725
                     17,                0.85071,                0.70498,                 1.1088,                0.96646,                0.93876,                0.98212,                0.81777,                0.63794,                0.45758,                 1.0057,             0.00063125,             0.00063125,             0.00063125
                     18,                0.85089,                0.71268,                 1.1139,                 0.9471,                0.95218,                0.97064,                0.80694,                0.67587,                0.49218,                  1.025,                0.00059,                0.00059,                0.00059
                     19,                0.81317,                0.69111,                 1.1045,                0.93674,                0.98996,                0.98345,                0.81729,                0.63914,                 0.4613,                 1.0145,             0.00054875,             0.00054875,             0.00054875
                     20,                0.78656,                0.66226,                 1.0833,                0.95392,                0.97713,                0.98496,                0.83616,                0.61522,                0.44185,                0.98287,              0.0005075,              0.0005075,              0.0005075
                     21,                0.76385,                0.61045,                  1.083,                0.96486,                0.97498,                 0.9925,                0.83667,                0.64302,                0.44182,                0.98434,             0.00046625,             0.00046625,             0.00046625
                     22,                0.75213,                0.56895,                 1.0783,                 0.9504,                0.96296,                0.98216,                0.83248,                0.63028,                0.39443,                0.98055,               0.000425,               0.000425,               0.000425
                     23,                0.69101,                0.52978,                 1.0404,                0.92555,                0.96654,                0.96646,                0.83705,                0.61681,                0.41796,                0.97907,             0.00038375,             0.00038375,             0.00038375
                     24,                 0.6921,                0.50923,                   1.04,                0.91173,                0.94591,                0.96683,                 0.8284,                0.61838,                0.43389,                0.98551,              0.0003425,              0.0003425,              0.0003425
                     25,                0.68599,                 0.4996,                 1.0314,                0.92944,                  0.956,                0.97485,                0.83665,                0.59311,                0.41525,                0.96495,             0.00030125,             0.00030125,             0.00030125
                     26,                 0.6603,                0.46608,                 1.0148,                0.95502,                0.97391,                0.98624,                0.84532,                0.57512,                0.39858,                0.94645,                0.00026,                0.00026,                0.00026
                     27,                0.67221,                0.45861,                 1.0175,                0.95488,                0.99294,                0.99302,                0.86057,                0.60319,                0.36355,                0.96137,             0.00021875,             0.00021875,             0.00021875
                     28,                0.63298,                0.42831,                0.99686,                0.97569,                0.99282,                0.99496,                0.87247,                  0.547,                0.34448,                0.94032,              0.0001775,              0.0001775,              0.0001775
                     29,                0.64377,                0.42628,                 1.0098,                0.96952,                 0.9961,                0.99496,                0.86927,                0.55167,                0.33881,                0.93753,             0.00013625,             0.00013625,             0.00013625
                     30,                0.62825,                0.39317,                0.99851,                0.96983,                0.99734,                0.99423,                0.86749,                 0.5545,                0.34816,                0.93815,                9.5e-05,                9.5e-05,                9.5e-05
