                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89147,                 2.7383,                 1.1742,                0.51568,                0.64642,                0.65916,                0.53083,                0.67988,                 2.1464,                 1.0581,             0.00025553,             0.00025553,             0.00025553
                      2,                0.86789,                 1.4259,                 1.1485,                0.89602,                0.86925,                0.92917,                0.72953,                0.72672,                0.97414,                 1.0498,               0.000517,               0.000517,               0.000517
                      3,                0.87136,                 1.0712,                 1.1332,                0.73145,                0.88152,                0.85534,                0.67128,                0.78805,                0.91343,                 1.0873,             0.00077319,             0.00077319,             0.00077319
                      4,                0.90547,                 1.0237,                 1.1516,                0.68154,                0.73693,                0.77611,                0.59204,                0.90405,                 1.1734,                  1.184,              0.0010241,              0.0010241,              0.0010241
                      5,                0.89659,                0.95507,                  1.159,                0.80086,                0.84926,                0.88298,                0.68558,                 0.8312,                0.85431,                 1.1429,               0.001067,               0.001067,               0.001067
                      6,                0.88291,                0.90187,                 1.1383,                0.72685,                0.80611,                 0.8087,                0.66262,                0.80246,                0.90401,                 1.1495,               0.001067,               0.001067,               0.001067
                      7,                0.85968,                0.89701,                 1.1517,                  0.685,                0.66233,                0.68484,                0.52545,                0.89701,                 1.1064,                 1.2085,               0.001056,               0.001056,               0.001056
                      8,                0.90614,                0.89957,                   1.15,                0.74529,                0.71914,                0.75413,                0.59008,                0.91102,                0.90532,                 1.2102,               0.001045,               0.001045,               0.001045
                      9,                0.88242,                0.86645,                  1.154,                0.82889,                0.58472,                0.71001,                0.49908,                 1.1135,                 1.1816,                 1.3428,               0.001034,               0.001034,               0.001034
                     10,                0.87302,                0.82999,                 1.1482,                0.82918,                0.86774,                0.89541,                0.65787,                0.92053,                0.79442,                 1.1392,               0.001023,               0.001023,               0.001023
                     11,                0.88949,                0.83204,                 1.1398,                0.80085,                0.78704,                0.81469,                0.63675,                0.86716,                0.96524,                 1.1774,               0.001012,               0.001012,               0.001012
                     12,                0.87908,                0.85712,                 1.1333,                0.90392,                0.76037,                0.81301,                0.63569,                0.86031,                0.74327,                 1.1434,               0.001001,               0.001001,               0.001001
                     13,                0.85721,                0.81725,                 1.1364,                0.67917,                0.75882,                0.77421,                0.59287,                0.92787,                0.92718,                 1.2234,             0.00099001,             0.00099001,             0.00099001
                     14,                0.86178,                0.77871,                 1.1317,                0.58872,                0.70625,                0.64831,                0.49291,                 1.0487,                  1.068,                 1.2768,             0.00097901,             0.00097901,             0.00097901
                     15,                0.86338,                0.74101,                 1.1115,                0.78816,                0.85221,                 0.8596,                 0.6647,                0.80736,                0.76797,                 1.1051,             0.00096801,             0.00096801,             0.00096801
                     16,                0.82199,                0.75607,                 1.0824,                0.78269,                0.80413,                0.82093,                0.62897,                0.82489,                0.78072,                 1.1624,             0.00095702,             0.00095702,             0.00095702
                     17,                 0.8354,                0.74629,                 1.1068,                0.83368,                0.74446,                0.85475,                0.66829,                 0.8403,                0.76098,                 1.1142,             0.00094602,             0.00094602,             0.00094602
                     18,                0.81278,                0.69828,                 1.0929,                0.75888,                0.75765,                 0.7686,                0.59258,                0.84493,                 0.8407,                 1.1347,             0.00093502,             0.00093502,             0.00093502
                     19,                0.78763,                0.70298,                  1.093,                0.86524,                0.83926,                0.88498,                0.70103,                0.81871,                0.66715,                 1.1228,             0.00092402,             0.00092402,             0.00092402
                     20,                0.78887,                0.67183,                 1.0812,                0.79891,                0.85579,                0.81194,                0.64653,                0.82441,                0.77185,                 1.1404,             0.00091302,             0.00091302,             0.00091302
                     21,                0.79311,                0.68669,                 1.0688,                0.81899,                0.81093,                0.89121,                  0.699,                0.81259,                0.76618,                   1.16,             0.00090202,             0.00090202,             0.00090202
                     22,                0.76767,                0.67794,                 1.0627,                0.70542,                0.88827,                0.82969,                 0.6821,                0.82944,                0.69658,                 1.1401,             0.00089102,             0.00089102,             0.00089102
