                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81576,                0.64847,                 0.9991,                0.78042,                 0.7426,                0.78278,                0.62704,                 1.0437,                0.91853,                 1.0585,             0.00024442,             0.00024442,             0.00024442
                      2,                0.84868,                0.66959,                 1.0207,                0.79392,                0.79191,                0.79208,                 0.6295,                 1.0248,                0.83962,                 1.0825,             0.00045045,             0.00045045,             0.00045045
                      3,                0.89094,                0.67724,                 1.0002,                0.71818,                0.82756,                0.78995,                0.60861,                 1.0206,                0.85893,                 1.1099,             0.00060589,             0.00060589,             0.00060589
                      4,                 0.9032,                0.69481,                 1.0035,                0.88278,                0.70398,                0.80809,                0.62745,                 1.0241,                0.86949,                 1.0446,             0.00071074,             0.00071074,             0.00071074
                      5,                0.87742,                0.67118,                 1.0185,                0.76974,                0.75352,                0.80045,                0.64353,                0.98252,                0.86778,                 1.0494,             0.00067104,             0.00067104,             0.00067104
                      6,                0.88739,                0.66568,                0.99198,                0.61933,                0.63195,                0.69915,                0.48366,                 1.2428,                 1.1164,                 1.2651,             0.00067104,             0.00067104,             0.00067104
                      7,                0.80774,                0.72298,                0.94896,                0.80935,                0.78898,                0.82951,                0.63072,                0.96532,                0.80763,                  1.069,             0.00056105,             0.00056105,             0.00056105
                      8,                0.80681,                0.65426,                 0.9889,                0.70146,                0.72739,                0.77561,                0.61024,                0.98815,                0.83132,                 1.0689,             0.00045107,             0.00045107,             0.00045107
                      9,                0.86298,                 0.6613,                 1.0104,                0.76101,                0.83557,                0.82351,                0.64734,                 0.9555,                0.79465,                 1.0369,             0.00034108,             0.00034108,             0.00034108
                     10,                0.76422,                0.57225,                0.97682,                0.73659,                 0.8494,                 0.8334,                0.65652,                0.95237,                0.74302,                 1.0361,             0.00023109,             0.00023109,             0.00023109
