                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2926,                 2.8147,                 1.4011,                0.55791,                0.56334,                0.55506,                0.36781,                 1.2299,                   2.83,                  1.498,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.2357,                 2.2059,                 1.3903,                0.24377,                0.49537,                0.36141,                0.21313,                 1.5669,                 7.1364,                 1.9317,              0.0007955,              0.0007955,              0.0007955
                      3,                 1.3316,                 1.8757,                 1.3739,                 0.8884,                0.39298,                0.49792,                0.32227,                 1.5212,                 2.4426,                 1.6492,              0.0011575,              0.0011575,              0.0011575
                      4,                 1.2537,                 1.7685,                 1.3445,                0.52003,                0.62337,                 0.5941,                0.34686,                 1.6548,                  2.505,                 1.9284,              0.0011263,              0.0011263,              0.0011263
                      5,                 1.4116,                 1.7429,                 1.4615,                0.82056,                0.69232,                 0.7087,                0.38124,                 1.3842,                  1.788,                 1.7009,              0.0011263,              0.0011263,              0.0011263
                      6,                 1.4191,                 1.8104,                 1.5018,                0.29507,                0.62842,                0.42704,                0.27159,                 1.6808,                  2.547,                 1.8015,               0.001085,               0.001085,               0.001085
                      7,                 1.3124,                 1.5739,                 1.3632,                0.26429,                0.67992,                0.55389,                0.33849,                 1.2584,                 3.3901,                 1.5913,              0.0010438,              0.0010438,              0.0010438
                      8,                 1.2622,                 1.4985,                 1.3542,                0.42588,                0.72277,                0.58895,                0.33073,                 1.3121,                 2.1198,                 1.5146,              0.0010025,              0.0010025,              0.0010025
                      9,                 1.2392,                    1.5,                  1.359,                0.61828,                0.59926,                0.67548,                0.41042,                 1.2073,                 1.5141,                 1.4148,             0.00096125,             0.00096125,             0.00096125
                     10,                 1.2956,                 1.4558,                 1.3806,                0.52213,                0.62517,                0.64289,                0.43945,                 1.1943,                 1.4701,                 1.3878,                0.00092,                0.00092,                0.00092
                     11,                 1.2282,                 1.3276,                 1.3412,                0.52122,                0.66019,                0.61278,                0.41487,                 1.1984,                 1.4257,                 1.3963,             0.00087875,             0.00087875,             0.00087875
                     12,                 1.1817,                 1.3311,                 1.3019,                0.51792,                0.76514,                0.67175,                0.47474,                 1.0778,                 1.5306,                 1.2973,              0.0008375,              0.0008375,              0.0008375
                     13,                 1.1158,                 1.2372,                 1.2755,                0.65119,                0.81343,                0.75169,                0.52366,                 1.0225,                 1.2059,                  1.281,             0.00079625,             0.00079625,             0.00079625
                     14,                 1.0493,                 1.1337,                 1.2518,                0.58875,                0.76773,                0.73493,                0.54332,                 1.0957,                  1.282,                 1.3627,               0.000755,               0.000755,               0.000755
                     15,                 1.0835,                 1.1915,                 1.2273,                0.64862,                 0.6464,                0.74822,                0.50858,                 1.1893,                 1.2148,                 1.4115,             0.00071375,             0.00071375,             0.00071375
                     16,                 1.0899,                 1.1206,                 1.2523,                0.64608,                0.77797,                0.73546,                0.54711,                0.92726,                 1.1452,                 1.2463,              0.0006725,              0.0006725,              0.0006725
                     17,                  1.078,                 1.0604,                 1.2196,                0.63577,                0.75707,                0.72272,                0.54219,                0.97014,                  1.078,                 1.2507,             0.00063125,             0.00063125,             0.00063125
                     18,                 1.0191,                 1.0088,                 1.2175,                0.61873,                0.70912,                0.71732,                0.54348,                0.90301,                0.99532,                 1.1877,                0.00059,                0.00059,                0.00059
                     19,                 1.0147,                0.99521,                 1.2165,                0.69065,                0.84157,                0.79629,                0.59257,                0.88577,                 1.0057,                 1.1714,             0.00054875,             0.00054875,             0.00054875
                     20,                0.95864,                0.94192,                 1.1686,                0.67152,                0.76543,                0.73893,                0.56381,                0.99337,                0.92598,                 1.2382,              0.0005075,              0.0005075,              0.0005075
                     21,                  1.013,                 1.0849,                 1.2614,                0.60995,                0.76051,                0.71348,                0.52762,                 1.0284,                 1.5046,                  1.275,             0.00046625,             0.00046625,             0.00046625
                     22,                0.93545,                0.93496,                 1.1737,                0.69508,                0.78519,                0.75617,                0.52303,                0.94877,                 1.0237,                 1.2422,               0.000425,               0.000425,               0.000425
                     23,                0.91011,                0.86047,                 1.1925,                0.78513,                0.84288,                0.78615,                0.57503,                0.99331,                0.97611,                 1.2664,             0.00038375,             0.00038375,             0.00038375
                     24,                0.84967,                0.74353,                 1.1361,                0.78836,                0.79192,                0.80649,                0.61842,                0.85831,                   1.01,                 1.1636,              0.0003425,              0.0003425,              0.0003425
                     25,                0.84573,                0.74513,                 1.1247,                0.75884,                0.90171,                0.86112,                0.62011,                0.91343,                0.89939,                 1.1749,             0.00030125,             0.00030125,             0.00030125
                     26,                0.85855,                0.68019,                 1.1448,                0.80947,                0.80867,                0.86931,                0.63535,                0.89039,                0.83989,                 1.1745,                0.00026,                0.00026,                0.00026
                     27,                0.85608,                0.67984,                 1.1304,                0.81722,                0.84926,                0.87643,                 0.6142,                0.93532,                0.82322,                 1.1938,             0.00021875,             0.00021875,             0.00021875
                     28,                0.82323,                0.61857,                 1.1083,                0.80921,                0.82257,                0.83032,                0.62577,                0.90667,                0.85635,                  1.182,              0.0001775,              0.0001775,              0.0001775
                     29,                0.79328,                0.58829,                 1.0787,                0.81618,                0.81176,                0.81342,                 0.6033,                0.90697,                0.80183,                 1.2028,             0.00013625,             0.00013625,             0.00013625
                     30,                0.80144,                0.60492,                 1.0973,                0.83636,                0.78624,                0.85337,                 0.6226,                0.86347,                0.79175,                 1.1722,                9.5e-05,                9.5e-05,                9.5e-05
